businessname,formatted_tradename,numer_of_locations
0827550 BC Ltd,blenz,1
1175919 BC Ltd,blenz,1
1212211 BC Ltd,blenz,1
1308413  BC Ltd,blenz,1
1310761 BC Ltd,blenz,1
1354186 BC Ltd,blenz,1
1373257 BC LTD,blenz,1
973 Food and Beverage Limited,blenz,1
Canada Pacific Nameco Ltd,blenz,1
Sipgal Coffee Ltd,blenz,1
Westside Grind Coffee Corporation,blenz,1
Y&Q International Coffee Holdings Co Ltd,blenz,1
JJ Bean Inc,jj_bean,11
Bates Restaurant Ltd,mcdonalds,1
Battista Restaurant Corp,mcdonalds,1
McDonald's Restaurant Ltd,mcdonalds,1
McDonalds Restaurants of Canada Ltd,mcdonalds,1
McDonald's Restaurants Of Canada Ltd,mcdonalds,2
Caterina Restaurant Corp,mcdonalds,4
Bates Restaurants Ltd,mcdonalds,5
1062682 BC Ltd,starbucks,1
Stabucks Coffee Canada Inc,starbucks,1
Starbucks Corporation,starbucks,1
Starbucks Coffee Canada Inc,starbucks,39
0829882 BC Ltd,tim_hortons,1
1008904 BC Ltd,tim_hortons,1
A O K Holdings Ltd,tim_hortons,1
Arivle Enterprises Ltd,tim_hortons,1
Compass Group Canada Ltd,tim_hortons,1
EJK Investments Ltd,tim_hortons,1
EKJ Ventures Ltd,tim_hortons,1
J K Investments Ltd,tim_hortons,1
JJM Enterprises Ltd,tim_hortons,1
JK Holdings Ltd,tim_hortons,1
JKM Ventures Ltd,tim_hortons,1
K M F Hodlings Ltd,tim_hortons,1
KJM Ventures Ltd,tim_hortons,1
MJK Ventures Ltd,tim_hortons,1
THB Donuts Corp,tim_hortons,1
Targaryen Investments Ltd,tim_hortons,1
Thakkar Hospitality BC- LM Inc,tim_hortons,1
1188175 BC Limited,tim_hortons,2
OKF Holdings Ltd,tim_hortons,2
RCND Restaurants Co Ltd,tim_hortons,2
0863865 BC Ltd,tim_hortons,3
KMF Holdings Ltd,tim_hortons,3
Kailau Enterprises Ltd,tim_hortons,3
Thakkar Hospitality BC - LM Inc,tim_hortons,4
